Champion1_Blue,Champion2_Blue,Champion3_Blue,Champion4_Blue,Champion5_Blue,Champion1_Red,Champion2_Red,Champion3_Red,Champion4_Red,Champion5_Red,Result
Olaf,LeeSin,Hwei,Draven,Karma,Tryndamere,Nocturne,Zac,Ashe,Janna,Red
TwistedFate,Poppy,Leblanc,Varus,Pyke,Gragas,LeeSin,Kalista,Tristana,Nautilus,Blue
Riven,Jax,Ahri,Kaisa,Blitzcrank,Garen,LeeSin,Taliyah,Jinx,Gragas,Red
Jax,Nidalee,Velkoz,Kalista,Tristana,TwistedFate,Kindred,Leblanc,Jhin,Karma,Blue
Riven,Brand,Varus,Azir,Ashe,Gragas,Khazix,Ahri,Jinx,Sona,Red
Jax,Khazix,Tristana,Ashe,Bard,Sett,Brand,Malphite,Varus,Braum,Red
Volibear,Ivern,Tristana,Zeri,Yuumi,Renekton,Evelynn,Qiyana,Twitch,Zac,Red
Ornn,Nidalee,Jayce,Varus,Kalista,Thresh,Khazix,Twitch,Draven,Yone,Red
Renekton,Viego,Twitch,Ashe,Janna,Illaoi,Nidalee,Lucian,Kaisa,Alistar,Red
Yone,Nidalee,Lucian,Jinx,Zilean,Leblanc,Kindred,Ahri,Kalista,Ashe,Red
Fiora,RekSai,Cassiopeia,Draven,Nami,Skarner,Evelynn,Tristana,Varus,Braum,Red
Rumble,Viego,Orianna,Zeri,Lulu,TwistedFate,Belveth,TahmKench,Aphelios,Milio,Red
Aatrox,Gragas,Jhin,Jinx,Thresh,Fiora,Jax,Taliyah,Zeri,Lulu,Red
Katarina,Belveth,Galio,Nami,Draven,Warwick,Rengar,Zed,Lucian,Ashe,Red
Vayne,LeeSin,Gragas,Kalista,Janna,KSante,Karthus,TwistedFate,Draven,Rumble,Red
Renekton,Gragas,Yone,Varus,Rakan,Jayce,MasterYi,Akali,Xayah,Rell,Red
TwistedFate,LeeSin,KSante,Ezreal,Thresh,Camille,Graves,Galio,Kaisa,Pyke,Blue
Fiora,Viego,Rumble,Ezreal,Ahri,Gnar,Taliyah,Tristana,Lucian,Nami,Red
Kayle,Viego,Akali,Lucian,Nami,Camille,Khazix,AurelionSol,Xayah,Rakan,Blue
Gragas,JarvanIV,Yone,Jinx,Nautilus,Akali,Volibear,AurelionSol,Varus,Ashe,Red
Aatrox,Taliyah,Neeko,Xayah,Rakan,TwistedFate,LeeSin,Zoe,Smolder,Zac,Blue
KSante,Ivern,Jinx,Hwei,Thresh,Jax,LeeSin,Draven,Ryze,Blitzcrank,Blue
Warwick,LeeSin,Syndra,Jinx,Rumble,Sion,Viego,Ahri,Kaisa,Blitzcrank,Red
Malphite,Volibear,Yone,Kalista,Renata,Akshan,Taliyah,Jayce,Nautilus,Senna,Blue
TwistedFate,LeeSin,Azir,Ziggs,Pyke,Jayce,Taliyah,Talon,Draven,Nautilus,Blue
Renekton,LeeSin,Karthus,Tristana,Nautilus,Gangplank,Kindred,Galio,Lucian,Nami,Red
Rumble,JarvanIV,Tristana,Kaisa,Alistar,TwistedFate,RekSai,Cassiopeia,Varus,Rakan,Blue
Darius,Viego,Tristana,Aphelios,Blitzcrank,Ornn,Kindred,Malphite,Jinx,Thresh,Red
Nasus,Skarner,Taliyah,Lucian,Nami,TwistedFate,LeeSin,Corki,Varus,Pyke,Blue
Akali,Khazix,Ahri,Xayah,Rell,Camille,Vi,Leblanc,Kalista,Rumble,Blue
Skarner,Jax,Ryze,Kalista,Ashe,Aatrox,Gragas,Taliyah,Caitlyn,Velkoz,Blue
Akali,Kindred,Zoe,Draven,Thresh,Renekton,Nidalee,TwistedFate,Varus,Nami,Red
Renekton,Taliyah,Neeko,Kaisa,Rell,Jax,LeeSin,Leblanc,Alistar,Samira,Blue
Jayce,XinZhao,Zoe,Xayah,Rakan,TwistedFate,Lillia,Diana,Zeri,Soraka,Red
Jax,Vi,Ornn,Jinx,Skarner,Fiora,Khazix,Vladimir,Kaisa,Zac,Red
Gnar,Jax,Akali,Caitlyn,Lux,Sett,Zac,Lissandra,Jinx,Thresh,Red
Renekton,Taliyah,Kindred,Lucian,Nami,Fiora,Vi,Ziggs,Ezreal,Velkoz,Blue
Jax,Nidalee,Jayce,KogMaw,Lulu,Lucian,Kindred,Twitch,Jinx,Braum,Red
Tristana,Ekko,AurelionSol,Ornn,Blitzcrank,Gwen,LeeSin,Sion,Jinx,Morgana,Red
Yone,XinZhao,Orianna,Draven,Pyke,Jayce,Jax,AurelionSol,Yasuo,Rakan,Red
Renekton,XinZhao,Orianna,Draven,Annie,Lissandra,Taliyah,LeeSin,Lucian,Nami,Red
TahmKench,XinZhao,AurelionSol,Draven,Rumble,Katarina,RekSai,Zac,Jinx,Seraphine,Red
Gwen,Zed,Orianna,Kalista,Blitzcrank,Aatrox,Zeri,Seraphine,Poppy,Corki,Blue
Akshan,Ekko,Hwei,Draven,Pyke,Jax,Rengar,Akali,Jinx,Renata,Red
Yasuo,LeeSin,Orianna,Seraphine,Rakan,Yone,Graves,Ahri,Nilah,Senna,Red
Gragas,Graves,Yasuo,Draven,Blitzcrank,Olaf,Sylas,Yone,KogMaw,Lulu,Blue
Skarner,Qiyana,Sylas,Jinx,Milio,Zeri,JarvanIV,Diana,Gnar,Lulu,Blue
Olaf,Vi,Taliyah,Zeri,Nautilus,Darius,Viego,Azir,Xayah,Pyke,Blue
Jayce,Vi,Vladimir,Kaisa,Rell,Warwick,LeeSin,Leblanc,Aphelios,Braum,Red
Lucian,XinZhao,AurelionSol,Twitch,Janna,Yorick,Viego,Syndra,Ezreal,Alistar,Blue
Yorick,Rumble,Ahri,Twitch,Lulu,Yone,Kindred,Swain,Lucian,Milio,Blue
Gwen,Rammus,TwistedFate,Varus,Pyke,Akali,Belveth,Ornn,Draven,Rakan,Red
Volibear,Khazix,AurelionSol,Draven,Blitzcrank,Jayce,LeeSin,Azir,Jinx,Bard,Blue
Camille,Ekko,Qiyana,Ezreal,Janna,Yasuo,Shaco,Zed,Varus,Ashe,Blue
Kassadin,Talon,Smolder,Aphelios,Lulu,Teemo,Belveth,Tristana,Jhin,Nami,Red
Riven,Gragas,Zac,Samira,Janna,Rammus,Taliyah,Viego,Caitlyn,Lux,Blue
Riven,XinZhao,Lissandra,Kalista,Renata,Teemo,Kayn,Leblanc,Draven,Poppy,Red
Renekton,Khazix,Annie,Corki,Sona,Yasuo,Nidalee,Qiyana,Jinx,Nautilus,Red
Udyr,Mordekaiser,Taliyah,Kalista,Nami,Poppy,Vi,Brand,Caitlyn,Lux,Blue
Warwick,RekSai,TwistedFate,Samira,Skarner,Sett,FiddleSticks,Zed,Kalista,Alistar,Red
Ornn,Brand,Ahri,Ashe,Kalista,Aatrox,Taliyah,Zac,Lucian,Nautilus,Blue
Camille,Skarner,Taliyah,Caitlyn,Morgana,Vayne,Viego,AurelionSol,Corki,Nautilus,Blue
Soraka,Jax,Hwei,MissFortune,Leona,Darius,LeeSin,Zilean,Jinx,Sona,Blue
Camille,Zed,Malzahar,Seraphine,Senna,Renekton,Nidalee,Annie,Jinx,Lulu,Red
Tryndamere,Gragas,Corki,Jinx,Braum,Kennen,LeeSin,Ahri,Xayah,Rakan,Red
Zac,Viego,Taliyah,Draven,Seraphine,Leblanc,Khazix,Gnar,Jinx,Poppy,Red
Skarner,Viego,Taliyah,Jhin,Rell,Jayce,Hecarim,Ahri,Kaisa,Lux,Blue
Camille,Rumble,Tristana,Caitlyn,Lux,Irelia,Skarner,Hwei,Jhin,Janna,Blue
Garen,Khazix,Orianna,Kaisa,Poppy,Renekton,Viego,Leblanc,Corki,Camille,Blue
Jax,Rumble,Talon,Aphelios,Rell,Garen,Diana,Yasuo,Jhin,Renata,Blue
Sett,JarvanIV,AurelionSol,Corki,Poppy,Gnar,Diana,Yasuo,Varus,Ashe,Blue
Fiora,Jax,Leblanc,Lucian,Nami,Akali,KogMaw,XinZhao,Varus,Ashe,Blue
Qiyana,Lillia,Jinx,Gnar,Poppy,Fiora,Diana,Ryze,Kalista,Rumble,Red
Fiora,Karthus,Ryze,Varus,Rakan,Volibear,Kindred,Fizz,Jinx,Camille,Red
Yasuo,Taliyah,Corki,Twitch,Braum,Camille,Brand,Fizz,Jinx,Nautilus,Blue
Fiora,Graves,Hwei,Draven,Pyke,Skarner,Lillia,Ahri,Jhin,Rell,Blue
Quinn,Brand,Talon,Varus,MissFortune,Tryndamere,Skarner,Viktor,Ashe,Camille,Red
Camille,Ekko,Talon,Kalista,Pyke,Irelia,Brand,Tristana,Varus,Poppy,Red
TwistedFate,Lillia,Taliyah,Jinx,Thresh,Warwick,Nidalee,Qiyana,Aphelios,Leona,Red
Volibear,JarvanIV,Ahri,Jhin,Bard,Zac,LeeSin,Yone,Lucian,Nami,Blue
Viego,Rammus,Orianna,Caitlyn,Nami,Olaf,Elise,Janna,Brand,Leblanc,Red
Gwen,Kindred,Sylas,Jhin,Zyra,Warwick,LeeSin,Hwei,Corki,Poppy,Red
Kayle,LeeSin,Hwei,Jinx,Thresh,Gragas,Kayn,TwistedFate,Vayne,Janna,Red
Skarner,Viego,Twitch,Kaisa,Nautilus,Jax,Vi,Hwei,Lucian,Nami,Blue
Camille,Karthus,Akali,Draven,Nautilus,Jayce,Kayn,Skarner,Corki,Alistar,Blue
Skarner,Lillia,Irelia,Zeri,Lulu,KSante,Viego,Hwei,Jinx,Nautilus,Red
Rumble,Vi,Swain,Jinx,Leona,Sett,Evelynn,Galio,Senna,Ornn,Red
Akali,Khazix,TwistedFate,Corki,Nautilus,Jax,Brand,Rakan,Jhin,Rell,Blue
Camille,Ivern,Blitzcrank,MissFortune,Corki,Riven,Rumble,AurelionSol,Senna,Ornn,Red
Volibear,Brand,Tristana,Varus,Alistar,Gnar,Vi,Taliyah,Draven,Rell,Blue
Aphelios,Nunu,Orianna,Urgot,Rell,Fiora,Kindred,TwistedFate,Karthus,Senna,Red
Malzahar,Khazix,Leblanc,Kaisa,Thresh,Rumble,Zyra,Yone,Kalista,Ashe,Red
Camille,Qiyana,Sylas,Senna,Ornn,Malzahar,Khazix,Kennen,Zeri,Nautilus,Red
Teemo,Kayn,Viego,Jhin,Xerath,Kennen,Rengar,Akali,Zeri,Nautilus,Red
Akali,Viego,Kassadin,Varus,Rell,Urgot,XinZhao,Irelia,AurelionSol,Alistar,Blue
Urgot,LeeSin,Nautilus,Caitlyn,Kassadin,TwistedFate,Sylas,Zed,Senna,Ornn,Red
Illaoi,Khazix,Singed,Aphelios,Thresh,Tryndamere,JarvanIV,TwistedFate,Senna,Ornn,Red
Camille,Taliyah,Irelia,Aphelios,Thresh,Gwen,Kindred,Ahri,Ezreal,Janna,Red
Camille,Kayn,Taliyah,KogMaw,Lulu,Kennen,Ivern,Corki,Samira,Alistar,Blue
Pantheon,FiddleSticks,TwistedFate,Heimerdinger,Camille,Poppy,Taliyah,Viego,Lucian,Senna,Red
Sett,Nidalee,Diana,Aphelios,Nautilus,Vayne,Kindred,Leblanc,Samira,Soraka,Blue
Ryze,Viego,Sylas,Aphelios,Rell,Lucian,Vi,Hwei,Mordekaiser,Nami,Blue
Camille,Khazix,Taliyah,Draven,Nami,Tristana,Viego,Ahri,Zeri,Lulu,Red
Renekton,Nunu,Leblanc,Kalista,Alistar,Camille,Kindred,Neeko,Xayah,Soraka,Red
Riven,Nunu,Akshan,Twitch,Lulu,Ryze,Skarner,Viego,Zeri,Rakan,Red
TwistedFate,Khazix,Orianna,Aphelios,Thresh,Tristana,Karthus,Ekko,Caitlyn,Nautilus,Blue
Teemo,Twitch,Katarina,Caitlyn,Maokai,Fiora,Viego,Ahri,Senna,Nautilus,Red
Camille,Kayn,Nautilus,Kaisa,AurelionSol,Darius,Evelynn,Thresh,Sivir,Akali,Red
Jayce,Mordekaiser,Corki,Vayne,Rakan,Kennen,TwistedFate,Yasuo,Zeri,Rell,Red
Vayne,LeeSin,Galio,Singed,Rakan,Camille,Ashe,TwistedFate,Draven,Nidalee,Red
Jayce,Taliyah,AurelionSol,Kalista,Rakan,Fiora,Udyr,Kassadin,Jinx,Alistar,Red
Rumble,Vi,Leblanc,Tristana,Poppy,Kayle,Graves,Syndra,Kalista,Renata,Red
Aatrox,Nidalee,Azir,Xayah,Zac,Sett,Graves,Akali,Jinx,Poppy,Red
Darius,Kindred,Azir,Samira,Pyke,Viego,Ivern,Tristana,Jinx,Alistar,Red
Cassiopeia,MasterYi,Katarina,Aphelios,Pyke,Jayce,Hecarim,Akali,Senna,Nautilus,Red
Jayce,RekSai,Vladimir,Jinx,Nautilus,Zac,Brand,Tristana,Kaisa,Alistar,Red
TwistedFate,Sett,Sylas,Jhin,Bard,Rumble,Ivern,Jinx,AurelionSol,Nautilus,Red
Kled,Vi,Taliyah,Aphelios,Lulu,Camille,Gwen,Veigar,Senna,Yasuo,Blue
Renekton,Skarner,Orianna,Ashe,Milio,Aatrox,Nunu,Vladimir,Kaisa,Camille,Red
Fiora,Graves,Kassadin,Caitlyn,Leona,Yone,LeeSin,Leblanc,Jinx,Blitzcrank,Red
JarvanIV,Kindred,Vladimir,Caitlyn,Thresh,Akali,XinZhao,Azir,Kalista,Pyke,Blue
Viego,XinZhao,Annie,Jinx,Soraka,Yasuo,LeeSin,Akali,Draven,Nautilus,Red
Fiora,Brand,Ahri,Ashe,Kalista,Riven,Jax,Azir,Jhin,Karma,Red
Olaf,JarvanIV,Hwei,Zeri,Sona,Fiora,Jax,Ahri,Lux,Senna,Red
Shen,Taliyah,Tristana,Corki,Rakan,Kennen,Sett,Viego,Zeri,Lulu,Blue
KSante,Evelynn,Irelia,Xayah,Renata,Tryndamere,Elise,Akali,Jinx,Nautilus,Red
Fiora,Viego,Zoe,Kalista,Swain,Warwick,LeeSin,Qiyana,Kaisa,Ashe,Red
Sett,Rammus,Yasuo,Twitch,Lulu,Jax,Karthus,Akali,Aphelios,Alistar,Red
Jayce,Taliyah,Zac,Kaisa,Pantheon,Tryndamere,Viego,Ziggs,Aphelios,Milio,Red
Skarner,Ivern,Hwei,Jinx,Nami,Trundle,Viego,Taliyah,Zeri,Pyke,Red
Vayne,Ivern,Qiyana,Kalista,Neeko,Tristana,Lillia,Azir,Kaisa,Poppy,Red
Jax,LeeSin,Hwei,Jinx,Rell,Gragas,Skarner,Ahri,Senna,Pyke,Blue
Camille,Gragas,Morgana,Jinx,Alistar,Yone,LeeSin,Zoe,Kalista,Pyke,Blue
Yone,Malphite,Shen,Varus,Blitzcrank,Sylas,Belveth,Diana,Draven,Ashe,Red
Jax,Taliyah,Akali,TahmKench,Senna,Graves,LeeSin,Azir,Jinx,Nautilus,Blue
Aatrox,Taliyah,Twitch,Jhin,Nautilus,Vayne,Khazix,Leblanc,Seraphine,Senna,Red
Camille,Rumble,Tristana,Varus,Zac,KSante,Viego,AurelionSol,Seraphine,Ashe,Blue
Ryze,Jinx,Olaf,Taliyah,Rell,Vayne,Diana,Talon,Kalista,Ashe,Red
Quinn,Sejuani,Sylas,Jinx,Milio,Gnar,Jax,Akali,Xayah,Rakan,Blue
Camille,Zeri,Yone,Ezreal,Rumble,Skarner,Kindred,Nidalee,Kalista,Ashe,Red
Jayce,Poppy,Leblanc,Varus,Nautilus,Ashe,LeeSin,Lux,Jinx,Braum,Red
Nasus,Khazix,Ahri,Jinx,Rumble,Olaf,Kindred,Swain,Ashe,Neeko,Blue
Akali,MasterYi,Taliyah,Jinx,Milio,Jayce,Viego,Veigar,Varus,Soraka,Red
Rumble,Vi,Leblanc,Kalista,Ashe,Udyr,Belveth,Ahri,Jinx,Braum,Red
Aatrox,Graves,Leblanc,Karthus,Bard,Fiora,Viego,Gragas,Jinx,Lulu,Red
KSante,LeeSin,Ryze,Jinx,Soraka,Vayne,Lillia,Akshan,Varus,Neeko,Blue
Gnar,Kindred,Lux,Jinx,Janna,LeeSin,Jax,Ahri,Varus,Annie,Red
Vayne,Jax,Leblanc,Varus,Seraphine,TwistedFate,Viego,Azir,Samira,Nautilus,Blue
KSante,Viego,Leblanc,Caitlyn,Ashe,Camille,JarvanIV,Azir,Ezreal,Pyke,Blue
Fiora,LeeSin,Azir,Draven,Nautilus,Vayne,Poppy,Ahri,Zeri,Alistar,Blue
Ahri,Viego,Jayce,Jinx,Skarner,Aatrox,LeeSin,Kassadin,Varus,Rumble,Blue
Pantheon,Viego,Azir,Nautilus,Varus,Fiora,LeeSin,Zac,Karthus,Senna,Red
Yone,LeeSin,Janna,Senna,Ornn,Camille,Skarner,Leblanc,Jinx,Karma,Red
Darius,Sylas,Vayne,Tristana,Rumble,Fiora,JarvanIV,Akali,Varus,Ashe,Red
Yone,Gragas,Ahri,Varus,Ashe,Gnar,LeeSin,Twitch,Ezreal,Rumble,Red
Gragas,TwistedFate,Kindred,Jinx,Thresh,Malphite,LeeSin,Taliyah,Senna,Ornn,Blue
Skarner,Viego,Ahri,Kaisa,Blitzcrank,Ezreal,XinZhao,Azir,Gragas,Rell,Red
Jax,LeeSin,Ahri,Varus,Soraka,Jayce,XinZhao,TwistedFate,Ezreal,Ornn,Red
Ryze,Viego,Leblanc,Jinx,Zac,Fiora,LeeSin,TwistedFate,Senna,Ornn,Blue
Volibear,Nidalee,KSante,Jinx,Lulu,Riven,Viego,Vladimir,Kalista,Neeko,Red
Renekton,Taliyah,Ryze,Draven,Soraka,Gnar,LeeSin,Ivern,Kalista,Neeko,Blue
Olaf,Belveth,Kassadin,Rumble,Varus,Taliyah,LeeSin,Gragas,Jinx,Karma,Red
Riven,Kindred,Ahri,Varus,Nautilus,Rumble,Khazix,Taliyah,Jinx,Braum,Blue
Ryze,Kindred,Akshan,Karthus,Alistar,Akali,Skarner,Taliyah,Varus,Nautilus,Blue
Rumble,JarvanIV,Taliyah,Zeri,Pyke,Nautilus,Khazix,Orianna,Jinx,Yone,Blue
Aatrox,Jax,Azir,Jinx,Bard,KSante,Riven,Hwei,Varus,Renata,Blue
Rumble,JarvanIV,Varus,Tristana,Renata,Renekton,Taliyah,Jayce,Kalista,Rell,Blue
Urgot,Vi,Ahri,Varus,Rumble,Olaf,JarvanIV,Hwei,Zeri,Senna,Red
Riven,Viego,Hwei,Zeri,Gragas,Quinn,Poppy,Akali,Varus,Nautilus,Red
KSante,Kayn,TwistedFate,Xayah,Rakan,Udyr,Viego,Ahri,Zeri,Alistar,Red
Skarner,Briar,TwistedFate,Varus,Alistar,Aatrox,Taliyah,Tristana,Jinx,Nautilus,Red
Teemo,Briar,AurelionSol,Kalista,Rell,Skarner,Brand,Senna,Tristana,TahmKench,Red
Camille,MasterYi,Ryze,Varus,Bard,Gwen,Evelynn,Tristana,Zeri,Galio,Blue
Aatrox,Soraka,Taliyah,Zeri,Evelynn,Fiora,LeeSin,Diana,Lucian,Nami,Red
Zac,Nunu,Tristana,Ezreal,Karma,Rumble,Graves,Azir,Varus,Galio,Red
Jax,Skarner,Azir,Senna,Nautilus,Vayne,Hecarim,Corki,Varus,Rakan,Blue
Gragas,Maokai,Jayce,Nautilus,Kaisa,Renekton,Nidalee,Tristana,Varus,Blitzcrank,Red
Akali,RekSai,Neeko,Jinx,Galio,TwistedFate,LeeSin,Syndra,Zeri,Alistar,Blue
Renekton,Brand,Rell,Kalista,TwistedFate,Gnar,Lillia,Corki,Jhin,Shaco,Blue
Volibear,Viego,AurelionSol,Caitlyn,Milio,Renekton,Nidalee,Yone,Jhin,Seraphine,Red
Olaf,Nidalee,LeeSin,Kalista,Nautilus,Riven,Taliyah,Tristana,TahmKench,Senna,Red
Jax,Taliyah,Tristana,Xayah,Nautilus,Gragas,Vi,Orianna,Jhin,Leona,Blue
TwistedFate,Lillia,Hwei,Tristana,Leona,Renekton,Karthus,Ahri,Senna,Nautilus,Red
Shaco,Ashe,Leblanc,JarvanIV,Kalista,Camille,Sett,Hwei,Caitlyn,Thresh,Blue
Renekton,Jax,AurelionSol,Varus,Neeko,Samira,Kennen,Syndra,XinZhao,Alistar,Blue
Rumble,Viego,Azir,Senna,TahmKench,Gwen,JarvanIV,Orianna,Caitlyn,Nautilus,Blue
Camille,Evelynn,Yasuo,Varus,Alistar,Vayne,Sejuani,Taliyah,Caitlyn,Morgana,Red
Volibear,Hecarim,Hwei,Kalista,Soraka,Gnar,Brand,Akshan,Nautilus,Draven,Red
Fiora,Kindred,Ryze,Caitlyn,Soraka,Udyr,Brand,Akshan,Jhin,Sona,Blue
Maokai,Taliyah,Poppy,Draven,Vex,Sion,Brand,Akshan,Aphelios,Pyke,Red
Gangplank,Nunu,Hwei,Aphelios,Milio,Poppy,LeeSin,Tristana,Seraphine,Thresh,Blue
Jayce,Lillia,Yone,Jinx,Milio,Camille,FiddleSticks,Yasuo,Corki,Rell,Red
Aatrox,Rengar,Hwei,Jhin,Corki,Fiora,Kindred,Orianna,Varus,Skarner,Red
Fiora,Jax,Leblanc,Lucian,Nami,Akali,KogMaw,XinZhao,Varus,Ashe,Blue
Pantheon,Ivern,Zoe,Lucian,Nami,Camille,Rammus,Taliyah,Kalista,Pyke,Red
Renekton,Skarner,Lux,Corki,Milio,Malzahar,Warwick,Tristana,Caitlyn,Neeko,Blue
Camille,MonkeyKing,Azir,Jinx,Alistar,Sett,MasterYi,Yasuo,Varus,Lulu,Blue
Kayle,Poppy,Talon,Seraphine,Ashe,Olaf,Vi,Renekton,Kalista,Nautilus,Blue
Kled,Maokai,Ahri,Jinx,Lulu,Gragas,Kindred,Yasuo,Corki,Rell,Red
Gragas,Nidalee,Yasuo,Lucian,Rakan,Rumble,Skarner,Vex,Twitch,Lulu,Blue
Caitlyn,Taliyah,Hwei,Bard,Sett,Warwick,Diana,Yasuo,Lucian,Milio,Blue
KogMaw,LeeSin,Irelia,Lucian,Milio,Camille,Vi,Cassiopeia,Varus,Corki,Blue
Sett,Gwen,Brand,Ashe,Seraphine,Fiora,Taliyah,Tristana,Jhin,Yuumi,Red
Jayce,Nidalee,Hwei,Draven,Nautilus,Quinn,RekSai,Ahri,Sivir,Seraphine,Red
Gnar,Shaco,Ahri,Aphelios,Thresh,Gragas,Kindred,Zac,Jhin,Seraphine,Red
Jax,Lillia,Nasus,Lucian,Nami,Akali,FiddleSticks,Akshan,Varus,Leona,Red
Fiora,Graves,Hwei,Draven,Pyke,Skarner,Lillia,Ahri,Jhin,Rell,Blue
Renekton,Viego,Leblanc,Corki,Lulu,Rumble,Lillia,Tristana,Caitlyn,Nautilus,Red
Mordekaiser,Brand,Irelia,Ezreal,Poppy,Garen,JarvanIV,Taliyah,Tristana,Alistar,Red
Renekton,Taliyah,Tristana,Xayah,Lux,Vayne,Rammus,Cassiopeia,Kaisa,Neeko,Blue
Camille,JarvanIV,Fizz,Caitlyn,Rell,Viego,Vi,Leblanc,Jhin,Rumble,Blue
Camille,Yasuo,Taliyah,Varus,Seraphine,Volibear,Graves,Leblanc,Hwei,Rell,Blue
Volibear,JarvanIV,Ahri,Jhin,Bard,Zac,LeeSin,Yone,Lucian,Nami,Blue
Renekton,Corki,Elise,Varus,Leona,KSante,MasterYi,Annie,Jhin,Nautilus,Blue
Poppy,Jax,Hwei,Kalista,Rumble,Kennen,Udyr,Corki,Jhin,Xerath,Blue
Fiora,Diana,Sylas,Kalista,Nautilus,Darius,Skarner,Brand,Sivir,Seraphine,Red
Darius,JarvanIV,Kaisa,Aphelios,Soraka,Irelia,Taliyah,Corki,Jinx,Rakan,Red
Corki,Kayn,Riven,Zeri,Yuumi,Malphite,Gragas,Akshan,Caitlyn,Bard,Blue
Skarner,LeeSin,Corki,Lucian,Nami,Sett,Kindred,Akali,Aphelios,Rakan,Red
Urgot,Volibear,Hwei,Twitch,Seraphine,Rengar,Skarner,Rumble,Varus,Kalista,Red
Ryze,Gragas,Irelia,Jinx,Milio,Vladimir,JarvanIV,Ahri,Caitlyn,Corki,Red
Skarner,Brand,Tristana,Varus,Ashe,Yone,Taliyah,Akshan,Jhin,Bard,Red
Sett,Brand,Kayle,Caitlyn,Thresh,Kennen,Volibear,Tryndamere,Varus,Karma,Blue
Garen,Karthus,Yasuo,Lucian,Neeko,Aatrox,Zac,Seraphine,Jhin,Soraka,Red
Malphite,Khazix,Gragas,Jhin,Corki,Talon,Lillia,Sylas,Zeri,Janna,Red
Vayne,Kayn,Jhin,Ziggs,Ashe,Camille,Nidalee,Corki,Caitlyn,Janna,Red
KSante,Kayn,Akali,Corki,Bard,Malphite,Vi,Zed,Kaisa,Rakan,Blue
Urgot,JarvanIV,Annie,Ashe,Seraphine,Kayle,Taliyah,Tristana,Jinx,Thresh,Red
Camille,LeeSin,Corki,Zeri,Lulu,Jax,Vi,Akshan,Ziggs,Nautilus,Red
Gragas,LeeSin,Annie,Lucian,Nami,Rumble,Viego,Leblanc,Jinx,Nautilus,Red
Fiora,Brand,Ahri,Samira,Janna,Volibear,Kayn,Xerath,Xayah,Thresh,Red
KSante,Viego,Sylas,Kalista,Milio,Aatrox,Vi,Brand,Varus,Thresh,Red
Camille,Lillia,Brand,Kaisa,Thresh,Zac,Ivern,Qiyana,Xayah,Blitzcrank,Red
Kayle,Lillia,Qiyana,Lucian,Pantheon,Aatrox,Nidalee,Tristana,Seraphine,Senna,Blue
Skarner,Kayn,Ahri,Draven,Braum,Camille,MasterYi,Taliyah,Jinx,Milio,Red
Shen,Brand,Akali,Kaisa,Nautilus,Riven,Nidalee,Lux,Varus,Pyke,Red
Singed,Taliyah,Katarina,Kalista,Pyke,Rumble,LeeSin,Yone,Varus,Ashe,Blue
Kayle,Lillia,Hwei,Varus,Rumble,Camille,LeeSin,Viktor,Caitlyn,Ashe,Red
Quinn,Talon,Sylas,Aphelios,Milio,Camille,Viego,Hwei,Lucian,Nami,Red
Renekton,Nidalee,Hwei,Senna,Nautilus,Volibear,XinZhao,Taliyah,Lucian,Nami,Blue
KSante,Nidalee,Jayce,Senna,TahmKench,Camille,LeeSin,Hwei,Draven,Nautilus,Blue
Tristana,Neeko,Blitzcrank,KSante,Morgana,Caitlyn,Aphelios,Brand,Riven,Kassadin,Blue
Ryze,Kindred,Riven,Caitlyn,Leblanc,Sion,JarvanIV,Orianna,Lucian,Nami,Blue
Camille,LeeSin,Hwei,Kalista,Rumble,Kayle,Jax,Taliyah,Lucian,Milio,Red
Kayle,Brand,Qiyana,Jhin,Rell,Camille,Nidalee,TwistedFate,Draven,Thresh,Blue
KSante,Talon,Lissandra,Lucian,Nami,Warwick,Nidalee,Tristana,Jhin,Blitzcrank,Red
Anivia,LeeSin,Lucian,TwistedFate,Nami,Sejuani,Viego,Taliyah,Zeri,Yuumi,Red
Jayce,Diana,Yasuo,Taliyah,Kalista,Aatrox,Viego,Katarina,Varus,Ashe,Red
Renekton,Viego,Yone,Samira,Rakan,Quinn,JarvanIV,Tristana,Sivir,Lulu,Red
AurelionSol,Viego,KSante,Lucian,Nami,Camille,LeeSin,Veigar,Ashe,Seraphine,Red
Irelia,LeeSin,Zed,Cassiopeia,Alistar,Zac,XinZhao,Yasuo,Jinx,Nautilus,Red
Gragas,Poppy,Irelia,Kalista,Ashe,Riven,Rammus,Kaisa,Akali,Pyke,Blue
KSante,Viego,Akali,Lucian,Nami,Zac,Jax,Ahri,Varus,Ashe,Red
Darius,Kindred,Xerath,Heimerdinger,Blitzcrank,Lux,Hecarim,Ahri,Draven,Pyke,Blue
Darius,Nocturne,Zilean,Twitch,Yuumi,Gragas,Poppy,AurelionSol,Jhin,Rakan,Red
Poppy,Talon,Ahri,Jhin,Seraphine,Shaco,Brand,Yasuo,Jinx,Lulu,Blue
Riven,Brand,Yasuo,Kaisa,Nautilus,Rumble,Jinx,Katarina,LeeSin,Braum,Red
MonkeyKing,Nidalee,Hwei,Varus,Renata,Kennen,Lillia,Talon,Jinx,Nautilus,Red
Urgot,Rammus,Lux,Jinx,Ashe,Karma,Taliyah,AurelionSol,Jhin,Rakan,Red
