Champion1_Blue,Champion2_Blue,Champion3_Blue,Champion4_Blue,Champion5_Blue,Champion1_Red,Champion2_Red,Champion3_Red,Champion4_Red,Champion5_Red,Result
KSante,Shaco,Malzahar,Jinx,Janna,Camille,JarvanIV,AurelionSol,Aphelios,Soraka,Red
Illaoi,Vi,Ahri,Lucian,Nami,Gwen,Graves,Kassadin,Ashe,Skarner,Red
Sett,Viego,Kassadin,Lucian,Nami,Gangplank,Kindred,Yasuo,Seraphine,Lux,Red
Illaoi,Viego,Kassadin,Kalista,Renata,Fiora,Poppy,Yone,Brand,Nami,Blue
Fiora,Vi,Malzahar,Kaisa,Thresh,Camille,Brand,Viktor,Tristana,Yuumi,Blue
Aatrox,Taliyah,Yone,Lulu,Seraphine,Camille,Nidalee,Kassadin,Jhin,Nautilus,Red
Sett,Briar,Akali,Jinx,Taric,Yone,Karthus,Skarner,Ashe,Zoe,Red
Zac,Morgana,Yasuo,Jinx,Sona,Sett,Graves,Ahri,Caitlyn,Milio,Blue
Jax,Viego,Azir,Lucian,Alistar,Gragas,Twitch,Zed,Draven,Leona,Red
Soraka,Nidalee,LeeSin,Jhin,Ashe,Jayce,JarvanIV,Zed,Kaisa,Pyke,Blue
Urgot,Kindred,Sylas,Varus,Milio,Gnar,Jax,Zed,Ziggs,Rell,Red
Vayne,Nidalee,Tryndamere,Corki,Rell,KSante,Kindred,Zoe,Ashe,Alistar,Red
Camille,Viego,Tristana,Seraphine,Soraka,Kayle,LeeSin,Zoe,Senna,Ornn,Blue
Camille,Rammus,AurelionSol,Lucian,Janna,Renekton,Viego,Sylas,Seraphine,Sona,Red
Gwen,Viego,Renekton,Jhin,Karma,Kayle,Kindred,Taliyah,Draven,Renata,Red
KSante,Lillia,Tristana,Lucian,Blitzcrank,Kayle,Taliyah,Kindred,Ashe,Milio,Blue
Trundle,Udyr,Zed,Aphelios,Rumble,KSante,Taliyah,Thresh,Caitlyn,Cassiopeia,Blue
Ryze,Viego,Yasuo,Hwei,Zac,Camille,Belveth,Ahri,Corki,Poppy,Red
Camille,Zyra,Orianna,Jinx,Zac,Ryze,LeeSin,Taliyah,Varus,Poppy,Red
Tryndamere,JarvanIV,Vladimir,Jhin,Karma,Jax,Viego,Corki,Xayah,Thresh,Red
Mordekaiser,Udyr,Malzahar,Varus,Rumble,Vladimir,Kindred,Cassiopeia,Kaisa,Thresh,Blue
Riven,Taliyah,Tristana,Ezreal,Seraphine,Khazix,Fiora,Leblanc,Kalista,Neeko,Red
Gragas,Maokai,Qiyana,Twitch,Alistar,Quinn,Viego,Lillia,Draven,Lulu,Blue
Quinn,Nautilus,Gangplank,Kaisa,Amumu,Karma,Sylas,Irelia,Corki,Alistar,Red
Sylas,Kindred,Akshan,Jhin,Lulu,Malphite,Lillia,Anivia,Jinx,Thresh,Red
Camille,Viego,Taliyah,Jhin,Bard,Jax,Graves,Hwei,Zeri,Nautilus,Blue
Renekton,Ekko,Taliyah,Jhin,Nautilus,Jayce,LeeSin,Vladimir,Jinx,Thresh,Red
Tryndamere,Nidalee,Naafiri,Veigar,Milio,Jax,LeeSin,Fizz,Draven,Rell,Red
Tryndamere,LeeSin,Viktor,Jhin,Thresh,Jax,Viego,Orianna,Kaisa,Rell,Red
Skarner,Brand,Tristana,Jhin,Pyke,Jayce,Lillia,Viego,Aphelios,Lulu,Blue
Kennen,Kindred,Illaoi,Veigar,Milio,Viego,Nidalee,Kaisa,Ahri,Nautilus,Blue
Illaoi,LeeSin,Syndra,Jhin,Rell,Aatrox,Viego,Ahri,Aphelios,Sona,Blue
Yorick,Brand,Aphelios,Vayne,Milio,Aatrox,Nidalee,Irelia,Zeri,Thresh,Blue
Sion,Elise,Orianna,Caitlyn,TwistedFate,Kayle,Nocturne,Taliyah,Vayne,Lux,Blue
Fiora,Taliyah,TwistedFate,Senna,Thresh,Volibear,LeeSin,Diana,Kaisa,Shaco,Red
Sett,Shaco,Tristana,Jhin,Taliyah,Yasuo,Kayn,Qiyana,Aphelios,Lux,Blue
Heimerdinger,Shaco,Akali,Caitlyn,Taliyah,Darius,Rammus,Viego,Aphelios,Leona,Blue
Quinn,Volibear,Tristana,Zeri,Alistar,Riven,Kindred,TwistedFate,Caitlyn,Karma,Red
Camille,Lillia,Tristana,Jhin,Bard,Urgot,Kayn,Rumble,Jinx,Soraka,Blue
Renekton,Lillia,Tristana,Kalista,Soraka,Irelia,Khazix,Rell,Varus,Leblanc,Blue
Chogath,Kindred,Zoe,Caitlyn,Varus,Renekton,Viego,Ahri,Ashe,Rumble,Blue
Viktor,Graves,Soraka,Kassadin,Nunu,Volibear,LeeSin,Skarner,Ashe,Rumble,Red
Camille,Graves,Akali,Caitlyn,Ashe,Malphite,LeeSin,Orianna,Tristana,Rakan,Red
Camille,Jax,TwistedFate,Lucian,Zilean,Riven,Viego,Tristana,Caitlyn,Ashe,Blue
